osmid,geometry,type,district
1537975958,POINT (44.5003887 40.1927932),school,Arabkir
1537975960,POINT (44.4978842 40.1939666),shop,Arabkir
1537975962,POINT (44.4987344 40.193423),shop,Arabkir
1537975964,POINT (44.4984431 40.1936097),cafe,Arabkir
1537975965,POINT (44.4991979 40.1931519),shop,Arabkir
1537975966,POINT (44.498623 40.1935122),shop,Arabkir
1537976060,POINT (44.4944461 40.1960444),shop,Arabkir
1537976106,POINT (44.4953901 40.195482),shop,Arabkir
1537976107,POINT (44.4966877 40.1946858),shop,Arabkir
1538314690,POINT (44.4847144 40.1557967),kindergarten,Shengavit
1567904685,POINT (44.5079516 40.1929439),work,Kentron
1619272209,POINT (44.5222186 40.1775),cafe,Kentron
1640342014,POINT (44.4919252 40.2040024),school,Arabkir
1640342015,POINT (44.4908513 40.2039901),shop,Arabkir
1640736328,POINT (44.4929734 40.200508),cafe,Arabkir
1640736344,POINT (44.4925013 40.2003011),cafe,Arabkir
1640736349,POINT (44.4935695 40.2009954),shop,Arabkir
1640736368,POINT (44.4924866 40.2059663),shop,Arabkir
1640736387,POINT (44.4921044 40.2001536),cafe,Arabkir
1640736398,POINT (44.4897774 40.202831),shop,Arabkir
1742678229,POINT (44.4623229 40.1459468),shop,Shengavit
1742689257,POINT (44.4746215 40.1523212),hospital,Shengavit
1742689260,POINT (44.472456 40.1501081),school,Shengavit
1742696429,POINT (44.4652301 40.1453778),school,Shengavit
1742696430,POINT (44.4738686 40.1524467),hospital,Shengavit
1769007769,POINT (44.522027 40.1897238),shop,Kentron
1796404633,POINT (44.5211338 40.1980803),cafe,Qanaqer zeuytun
1833063756,POINT (44.481506 40.1866802),cafe,Kentron
1859791313,POINT (44.4729655 40.2072407),school,Ajapnyak
1859791318,POINT (44.473813 40.2076053),school,Ajapnyak
1885381322,POINT (44.5993989 40.1877772),cafe,Nor-norq
1885381338,POINT (44.595986 40.1872604),kindergarten,Nor-norq
1885381357,POINT (44.5957526 40.1858486),school,Nor-norq
1888071811,POINT (44.4983012 40.1727527),cafe,Kentron
1888106745,POINT (44.4966168 40.1800915),cafe,Kentron
1888261278,POINT (44.4808504 40.190289),cafe,Kentron
1903000558,POINT (44.4628013 40.157037),sport,Malatia
1907391367,POINT (44.4675384 40.140024),shop,Shengavit
1928641854,POINT (44.5058156 40.1849065),shop,Kentron
1929390467,POINT (44.578695 40.2153855),shop,Avan
1929391028,POINT (44.5772456 40.21521),hospital,Avan
1949120451,POINT (44.5197257 40.1887799),shop,Kentron
1957098128,POINT (44.5197139 40.1869244),cafe,Kentron
1957104742,POINT (44.5138095 40.1838238),cafe,Kentron
1957107269,POINT (44.5132111 40.1790635),cafe,Kentron
1957107579,POINT (44.5148503 40.1818665),cafe,Kentron
1957109153,POINT (44.5144855 40.1820656),shop,Kentron
1957111654,POINT (44.518486 40.1902609),shop,Kentron
1957112505,POINT (44.5141475 40.1887416),shop,Kentron
1957112743,POINT (44.5142816 40.1886064),shop,Kentron
1957122906,POINT (44.5153396 40.1836946),cafe,Kentron
1963563663,POINT (44.5086011 40.1820449),shop,Kentron
1977002572,POINT (44.5655415 40.1863482),kindergarten,Nor-norq
1978951457,POINT (44.5262325 40.1879117),university,Kentron
1978951458,POINT (44.5272092 40.1890985),hospital,Kentron
1978951459,POINT (44.5254167 40.1906669),university,Kentron
1978951460,POINT (44.5274225 40.1899646),hospital,Kentron
1978951461,POINT (44.5256702 40.1872662),university,Kentron
1978951462,POINT (44.5245016 40.1881552),university,Kentron
1995538645,POINT (44.5078231 40.1693622),work,Kentron
1998855579,POINT (44.5246063 40.2111091),hospital,Arabkir
2003946124,POINT (44.4879418 40.183307),sport,Kentron
2007034833,POINT (44.5346272 40.1868113),hospital,Norq marash
2021485384,POINT (44.5462503 40.2077879),shop,Qanaqer zeuytun
2021499017,POINT (44.5460189 40.207718),shop,Qanaqer zeuytun
2021517992,POINT (44.5423319 40.2039915),shop,Qanaqer zeuytun
2021527134,POINT (44.5422554 40.20393),shop,Qanaqer zeuytun
2022243339,POINT (44.5472129 40.2080338),shop,Qanaqer zeuytun
2022244433,POINT (44.5465365 40.2080133),shop,Qanaqer zeuytun
2022244538,POINT (44.54639 40.2079238),shop,Qanaqer zeuytun
2022244539,POINT (44.5461695 40.2079048),shop,Qanaqer zeuytun
2022245349,POINT (44.5459596 40.2079007),shop,Qanaqer zeuytun
2022247785,POINT (44.5454614 40.208509),shop,Qanaqer zeuytun
2022283252,POINT (44.5431078 40.2047636),hospital,Qanaqer zeuytun
2022289929,POINT (44.5448968 40.2023258),cafe,Qanaqer zeuytun
2022637709,POINT (44.5423202 40.210103),shop,Qanaqer zeuytun
2046917650,POINT (44.5490737 40.1966955),cafe,Nor-norq
2113724041,POINT (44.5167086 40.1733592),cafe,Kentron
2186911252,POINT (44.5071205 40.1878979),hospital,Kentron
2233375739,POINT (44.5212119 40.1593298),hospital,Erebuni
2233558303,POINT (44.5276264 40.1597743),hospital,Erebuni
2234097865,POINT (44.5351615 40.1600347),school,Erebuni
2234097866,POINT (44.5262502 40.1634453),school,Erebuni
2234097870,POINT (44.5279909 40.1581094),school,Erebuni
2237206534,POINT (44.5669683 40.1903991),cafe,Nor-norq
2239582303,POINT (44.4459513 40.1275184),church,Shengavit
2239582547,POINT (44.5655782 40.2045916),shop,Nor-norq
2240040859,POINT (44.475929 40.2001479),university,Ajapnyak
2240040866,POINT (44.471392 40.2046865),shop,Ajapnyak
2240040879,POINT (44.4696943 40.2070821),kindergarten,Ajapnyak
2240040882,POINT (44.4714296 40.2052151),kindergarten,Ajapnyak
2240040888,POINT (44.474301 40.2029357),kindergarten,Ajapnyak
2240040896,POINT (44.4788325 40.2045047),school,Ajapnyak
2240040901,POINT (44.4646386 40.2034711),school,Ajapnyak
2240040941,POINT (44.4767248 40.2059402),shop,Ajapnyak
2240040975,POINT (44.4766991 40.207477),shop,Ajapnyak
2240175987,POINT (44.4777063 40.1496943),kindergarten,Shengavit
2252712974,POINT (44.5152431 40.1835429),work,Kentron
2254360353,POINT (44.5101144 40.1794858),cafe,Kentron
2254360529,POINT (44.5077063 40.1821988),shop,Kentron
2256019359,POINT (44.4938067 40.1549423),work,Shengavit
2257419799,POINT (44.4277351 40.1943939),work,Ajapnyak
2263334087,POINT (44.5408703 40.1986705),shop,Qanaqer zeuytun
2264132223,POINT (44.5326416 40.2042749),hospital,Qanaqer zeuytun
2265596990,POINT (44.5098669 40.1516041),shop,Erebuni
2267656946,POINT (44.5622774 40.2017647),kindergarten,Nor-norq
2267973417,POINT (44.5225053 40.1898259),shop,Kentron
2267982631,POINT (44.5219833 40.1853776),hospital,Kentron
2267982634,POINT (44.5263298 40.190441),shop,Kentron
2267982642,POINT (44.5220941 40.1850471),hospital,Kentron
2267982646,POINT (44.5239681 40.1904078),cafe,Kentron
2268254657,POINT (44.5614756 40.2025481),hospital,Nor-norq
2268254720,POINT (44.5718615 40.2090944),shop,Nor-norq
2268254721,POINT (44.5635127 40.2071443),shop,Nor-norq
2268254722,POINT (44.5692476 40.2062591),shop,Nor-norq
2268258128,POINT (44.5672574 40.2104312),school,Avan
2268258132,POINT (44.5693461 40.2093633),school,Nor-norq
2268700826,POINT (44.5639228 40.1850367),shop,Nor-norq
2269137836,POINT (44.5263149 40.1896517),hospital,Kentron
2269137837,POINT (44.5264364 40.1897833),hospital,Kentron
2269341276,POINT (44.5048414 40.1918808),shop,Kentron
2269341279,POINT (44.5062495 40.1824663),university,Kentron
2269341355,POINT (44.5052944 40.183538),school,Kentron
2271437825,POINT (44.5073819 40.1809639),shop,Kentron
2273164636,POINT (44.5002983 40.1705064),work,Kentron
2273223985,POINT (44.4363982 40.143242),shop,Shengavit
2273223986,POINT (44.4406472 40.1303502),shop,Shengavit
2273546159,POINT (44.5659177 40.1703069),shop,Nor-norq
2274935627,POINT (44.5123934 40.1872657),cafe,Kentron
2275103668,POINT (44.5297124 40.1452491),school,Erebuni
2275104013,POINT (44.5059823 40.1798411),shop,Kentron
